Concept name	OntologyNodes	Assigned indicator	Default indicator match	Description	DatamartIdentifier1	DatamartIdentifier2	DatamartIdentifier3	Cheryl's Score for CauseMos Default Indicator	Cheryl's Better Default Available (Yes/No/Node Issue)	Cheryl's Composite Score for CauseMos Default	Cheryl's Score for UAZ Indicators	Cheryl's Better Sets Available (BeatsBest/BetterCoverage/No)	Cheryl's Composite Score for UAZ	"Cheryl's Causemos Default beats UAZ (1 if true, blank if not)"	"Cheryl's UAZ beats Causemos Default (1 if true, blank if not)"	Robyn's Score for Default Indicator	Robyn's Better Default Available (Yes/No/Node Issue)	Robyn's composite score for Default Indicator	Robyn's Score for UAZ Indicators	Robyn's Better Sets Available (BeatsBest/BetterCoverage/No)	Robyn's composite score for UAZ indicators	"Robyn's Causemos Default beats UAZ (1 if true, blank if not)"	"Robyn's UAZ beats Causemos Default (1 if true, blank if not)"	Cheryl's Datamart 1	Cheryl's Datamart 1 Description	Gold1a	Cheryl's  Datamart2	Cheryl's Datamart2 Description	Gold2a	Cheryl's Datamart 3	Cheryl's Datamart 3 Description	Gold3a	Cheryl's Comments	RK Dataset 1	RK Output 1	Gold1b	RK Dataset 2	RK Output 2	Gold2b	RK Dataset 3	RK Output 3	Gold3b	Robyn's Notes																									
wm/process/assessment	wm/process/assessment	Environment_Emissions_by_Sector_Share of total emissions (SAR)	DOJO/WGI/Regulatory Quality: Estimate		[Not concept node]	undefined	undefined																																																													
wm/process/attempt	wm/process/attempt	INTIND	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		[Not concept node]	undefined	undefined																																																													
wm/process/collaboration	wm/process/collaboration	Social Institutions & Gender Index (Social Institutions & Gender Index.xlsx)	null		[Not concept node]	undefined	undefined																																																													
wm/process/collaboration	wm/process/collaboration	null	null		[Not concept node]	undefined	undefined																																																													
wm/process/communicate	wm/process/communicate	#KeepItOn - Access Now (KeepItOn-STOP-Data-2020-2021.csv)	null		[Not concept node]	undefined	undefined																																																													
wm/process/communicate	wm/process/communicate	null	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication	wm/process/communication	"Information, communication"	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/ask/poll	wm/process/communication/ask/poll	"Information, communication"	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/ask_decision	wm/process/communication/ask_decision	"Information, communication"	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/ask_military_power	wm/process/communication/ask_military_power	Military Expenditure	null		[Not concept node]	undefined	undefined	0	Node Issue	N/A	0	Node Issue	N/A			0	Node issue	N/A	0	Node Issue	N/A												"It's not clear what the intended function of ""ask"" is here. "										?? - cannot figure out what they might mean by this -- asking for allies to support militarily?																									
wm/process/communication/ask_unemployment	wm/process/communication/ask_unemployment	"Unemployment, total (% of total labor force)"	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/campaign	wm/process/communication/campaign	Campaign Event Count	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/commitment	wm/process/communication/commitment	#KeepItOn - Access Now (KeepItOn-STOP-Data-2020-2021.csv)	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/commitment	wm/process/communication/commitment	"Information, communication"	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/debate	wm/process/communication/debate	#KeepItOn - Access Now (KeepItOn-STOP-Data-2020-2021.csv)	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/debate	wm/process/communication/debate	"Information, communication"	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/description	wm/process/communication/description	"Information, communication"	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count		[Not concept node]	undefined	undefined																																																													
wm/process/communication/endorsement	wm/process/communication/endorsement	#KeepItOn - Access Now (KeepItOn-STOP-Data-2020-2021.csv)	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/endorsement	wm/process/communication/endorsement	"Information, communication"	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/highlighting	wm/process/communication/highlighting	"Information, communication"	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/informing	wm/process/communication/informing	#KeepItOn - Access Now (KeepItOn-STOP-Data-2020-2021.csv)	DOJO/7d515be6-c28a-4895-82ea-035088886dfe/Event Count - Count of Suicide Attack Events		[Not concept node]	undefined	undefined																																																													
wm/process/communication/informing	wm/process/communication/informing	"Information, communication"	DOJO/7d515be6-c28a-4895-82ea-035088886dfe/Event Count - Count of Suicide Attack Events		[Not concept node]	undefined	undefined																																																													
wm/process/communication/meeting	wm/process/communication/meeting	#KeepItOn - Access Now (KeepItOn-STOP-Data-2020-2021.csv)	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/meeting	wm/process/communication/meeting	"Information, communication"	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/opposition_protest_or_demonstration	wm/process/communication/opposition_protest_or_demonstration	Security Effectiveness (seceff)	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/opposition_protest_or_demonstration	wm/process/communication/opposition_protest_or_demonstration	Total Area	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/opposition_ruling_party	wm/process/communication/opposition_ruling_party	null	null		[Not concept node]	undefined	undefined																																																													
wm/process/communication/warning	wm/process/communication/warning	"Information, communication"	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/abduction	wm/process/conflict/abduction	X1: External Intervention	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/assassination_attempt	wm/process/conflict/assassination_attempt	fatalities	null		[Not concept node]	undefined	undefined	0	Yes	1	0	BeatsBest	1			0	yes	1	0	BeatsBest	1			"{""id"":""e13cb0d7-fa32-465b-b990-445554b74c78"""	",""description"":""STATE FRAGILITY INDEX AND MATRIX 2018. State Fragility Index = Effectiveness Score + Legitimacy Score, Effectiveness Score = Security Effectiveness + Political Effectiveness + Economic Effectiveness + Social Effectiveness, Legitimacy Score = Security Legitimacy + Political Legitimacy + Economic Legitimacy + Social Legitimacy.  Three indicators are used to calculate the regime/governance stability score: regime durability  current leader's years in office (leadership duration ); and total number of coup events  including successful, attempted, plotted, alleged coups and forced resignations or assassinations of chief executives"									State Fragility Index and Matrix - 1995-2018 (SFIv2018.xls)	Political Effectiveness (poleff)								"political effectiveness (“poleff”) score: regime/governance stability, 2001-2018. sources: monty g. marshall, keith jaggers, and ted robert gurr, polity v project: political regime characteristics and transitions, 1800-2018; henry s. bienen and nicolas van de walle, leadership duration (updated by monty g. marshall); and monty g. marshall and donna ramsey marshall, coups d’etat, 1946-2018, datasets (www.systemicpeace.org). three indicators are used to calculate the regime/governance stability score: regime durability (polity v, 2018); current leader’s year’s in office (leadership duration, 2018); and total number of coup events 2003-2018, including successful, attempted, plotted, alleged coups and forced resignations or assassinations of chief executives, but not including coup events associated with polity adverse regime changes (these major regime changes cause the “durability” score to be reset to “0” and, so, would be double- counted, see above). these indicators are scored such that: durability < 10 years = 1; leader years in office > 12 years = 1; and total coup events: 1-2 = 1 and >2 = 2. these indicators are then added to produce the regime/governance stability score (scores of 4 are recoded as 3). note: countries coded in the polity v dataset as an “interregnum” (i.e., total or near total collapse of central authority, −77) for the current year are scored 3 on the political effectiveness indicator ."																									
wm/process/conflict/attack	wm/process/conflict/attack	ACLED Data - East and Horn of Africa Region	DOJO/40fea799-4efc-4a39-991c-346273024ba9/Battle Related Deaths (Number Of People)		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/attack	wm/process/conflict/attack	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	DOJO/40fea799-4efc-4a39-991c-346273024ba9/Battle Related Deaths (Number Of People)		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/attack	wm/process/conflict/attack	The Deadly Electoral Conflict Dataset - DECO (DECO_v.1.0-East_Africa.xlsx)	DOJO/40fea799-4efc-4a39-991c-346273024ba9/Battle Related Deaths (Number Of People)		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/attack	wm/process/conflict/attack	X1: External Intervention	DOJO/40fea799-4efc-4a39-991c-346273024ba9/Battle Related Deaths (Number Of People)		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/attack	wm/process/conflict/attack	fatalities	DOJO/40fea799-4efc-4a39-991c-346273024ba9/Battle Related Deaths (Number Of People)		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/attack_reaction_or_response	wm/process/conflict/attack_reaction_or_response	FSI dataset	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/attack_reaction_or_response	wm/process/conflict/attack_reaction_or_response	fatalities	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/attack_state_power	wm/process/conflict/attack_state_power	C1: Security Apparatus	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/crackdown	wm/process/conflict/crackdown	X1: External Intervention	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/demonstrate	wm/process/conflict/demonstrate	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/demonstrate	wm/process/conflict/demonstrate	Social Conflict Analysis Database (SCAD) - Kenya - 1990-2016 (SCAD_OPs_10-Kenya.xlsx)	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/demonstrate	wm/process/conflict/demonstrate	X1: External Intervention	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/peacebuilding	wm/process/conflict/peacebuilding	Fragile States Index	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Disaster New Displacements		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/peacebuilding	wm/process/conflict/peacebuilding	X1: External Intervention	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Disaster New Displacements		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/police_brutality	wm/process/conflict/police_brutality	C1: Security Apparatus	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/police_brutality	wm/process/conflict/police_brutality	The Political Terror Scale (PTS)	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/police_brutality_deployment	wm/process/conflict/police_brutality_deployment	fatalities	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/protest_or_demonstration	wm/process/conflict/protest_or_demonstration	"Nonviolent and Violent Campaigns and Outcomes Dataset, v. 3.0 - Kenya, South Sudan, Sudan (navco3-0_Kenya_South-Sudan_Sudan.xlsx)"	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/protest_or_demonstration	wm/process/conflict/protest_or_demonstration	fatalities	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/protest_or_demonstration	wm/process/conflict/protest_or_demonstration	test_ACLED	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded		[Not concept node]	undefined	undefined	1	Yes	1	0	BeatsBest	1			1	yes	1	0	BeatsBest/BetterCoverage	1			"{""id"":""1407c329-b0bc-4a8b-83fe-9f0e17aaf4b4"""	"description"":""\r\nThe Social Conflict Analysis Database (SCAD) contains information on protests, riots, strikes, and other social disturbances in Africa, Latin American and the Caribbean."		"{""id"":""UAZ_VUAZ-8382"""	",""description"":""Collection of indicators consolidated by University of Arizona for the World Modelers Program for 2019 technology experiments.  Publicly available sources were used including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLED, World Bank and IOM-DTM.  Sources generally only cover up to 2018 GC. """		"{""id"":""4494cd84-e8dd-48e2-8b06-6b8a22a4cc64"""	",""description"":""ACLED collects real-time data on the locations, dates, actors, fatalities, and types of all reported political violence and protest events across Africa, the Middle East, Latin America & the Caribbean, East Asia, South Asia, Southeast Asia, Central Asia & the Caucasus, Europe, and the United States of America."		"Causemos default is Islamist Terrorist Attacks in the World - Africa and the Middle East - Possible Estimate 1979-2017/Number of Wounded. UAZ did recognize this as a node concept It returned ""Not concept node"" and no indicators. "	"Nonviolent and Violent Campaigns and Outcomes Dataset, v. 3.0 - Kenya, South Sudan, Sudan (navco3-0_Kenya_South-Sudan_Sudan.xlsx)"	"campaign event count - used to permit causemos to visualize events on a map. permits one to count different types and conditions of events (e.g., count/display the number of protest events in a country)."		University of Arizona Indicators 	Protests		Social Conflict Analysis Database (SCAD) - Kenya - 1990-2016 (SCAD_OPs_10-Kenya.xlsx)	Event Count																											
wm/process/conflict/protest_or_demonstration_election_uncertainty	wm/process/conflict/protest_or_demonstration_election_uncertainty	TOTAL SUPPLY	null		[Not concept node]	undefined	undefined																																																													
wm/process/conflict/terrorism	wm/process/conflict/terrorism	C1: Security Apparatus	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded		[Not concept node]	undefined	undefined																																																													
